,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday,Datetime
65,37 F,30 F,75 %,NNW,15 mph,0 mph,30.2 in,0,2017-01-02 08:30:00
66,37 F,32 F,81 %,NW,14 mph,0 mph,30.2 in,0,2017-01-02 09:00:00
67,37 F,32 F,81 %,NW,13 mph,0 mph,30.2 in,0,2017-01-02 09:30:00
68,41 F,32 F,70 %,NNW,15 mph,29 mph,30.2 in,0,2017-01-02 10:00:00
69,41 F,32 F,70 %,NW,14 mph,0 mph,30.2 in,0,2017-01-02 10:30:00
70,43 F,34 F,70 %,NW,13 mph,24 mph,30.2 in,0,2017-01-02 11:00:00
71,46 F,36 F,66 %,NW,9 mph,21 mph,30.2 in,0,2017-01-02 11:30:00
72,48 F,36 F,62 %,NW,7 mph,0 mph,30.2 in,0,2017-01-02 12:00:00
73,50 F,37 F,62 %,NW,6 mph,0 mph,30.2 in,0,2017-01-02 12:00:00
74,52 F,41 F,67 %,NW,3 mph,0 mph,30.2 in,0,2017-01-02 13:00:00
75,57 F,45 F,63 %,CALM,0 mph,0 mph,30.1 in,0,2017-01-02 13:00:00
76,55 F,46 F,72 %,SW,15 mph,0 mph,30.1 in,0,2017-01-02 14:00:00
77,55 F,46 F,72 %,SW,17 mph,0 mph,30.1 in,0,2017-01-02 14:00:00
78,55 F,46 F,72 %,SW,17 mph,0 mph,30.1 in,0,2017-01-02 15:00:00
79,55 F,46 F,72 %,SW,16 mph,0 mph,30.1 in,0,2017-01-02 15:00:00
80,54 F,45 F,72 %,WSW,15 mph,0 mph,30.1 in,0,2017-01-02 16:00:00
81,54 F,45 F,72 %,WSW,14 mph,0 mph,30.1 in,0,2017-01-02 16:00:00
82,52 F,41 F,67 %,W,14 mph,0 mph,30.1 in,0,2017-01-02 17:00:00
83,52 F,41 F,67 %,WSW,12 mph,0 mph,30.1 in,0,2017-01-02 17:00:00
84,52 F,43 F,71 %,SW,13 mph,0 mph,30.1 in,0,2017-01-02 18:00:00
85,52 F,43 F,71 %,WSW,12 mph,0 mph,30.1 in,0,2017-01-02 18:00:00
86,52 F,43 F,71 %,WSW,9 mph,0 mph,30.1 in,0,2017-01-02 19:00:00
87,52 F,43 F,71 %,W,7 mph,0 mph,30.1 in,0,2017-01-02 19:00:00
88,50 F,43 F,76 %,NW,5 mph,16 mph,30.1 in,0,2017-01-02 20:00:00
89,48 F,39 F,71 %,NW,8 mph,0 mph,30.1 in,0,2017-01-02 20:00:00
90,48 F,37 F,66 %,NNW,9 mph,0 mph,30.1 in,0,2017-01-02 21:00:00
91,46 F,36 F,66 %,NW,13 mph,0 mph,30.1 in,0,2017-01-02 21:00:00
92,46 F,36 F,66 %,NNW,12 mph,23 mph,30.1 in,0,2017-01-02 22:00:00
93,46 F,36 F,66 %,NNW,12 mph,0 mph,30.1 in,0,2017-01-02 22:00:00
94,45 F,34 F,66 %,NNW,13 mph,0 mph,30.1 in,0,2017-01-02 23:00:00
95,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-02 23:00:00
96,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-03 00:00:00
97,43 F,32 F,66 %,NNW,15 mph,0 mph,30.1 in,0,2017-01-03 00:00:00
98,43 F,32 F,66 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-03 01:00:00
99,41 F,32 F,70 %,NW,17 mph,0 mph,30.1 in,0,2017-01-03 01:30:00
100,41 F,32 F,70 %,NW,16 mph,0 mph,30.1 in,0,2017-01-03 02:00:00
101,41 F,32 F,70 %,NNW,16 mph,0 mph,30.1 in,0,2017-01-03 02:30:00
102,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,0,2017-01-03 03:00:00
103,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,0,2017-01-03 03:30:00
104,39 F,32 F,75 %,NW,15 mph,0 mph,30.1 in,0,2017-01-03 04:00:00
105,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,0,2017-01-03 04:30:00
106,39 F,30 F,70 %,NW,17 mph,0 mph,30.1 in,0,2017-01-03 05:00:00
107,39 F,30 F,70 %,NNW,17 mph,0 mph,30.1 in,0,2017-01-03 05:30:00
108,39 F,30 F,70 %,NNW,15 mph,0 mph,30.1 in,0,2017-01-03 06:00:00
109,39 F,30 F,70 %,NW,16 mph,0 mph,30.1 in,0,2017-01-03 06:30:00
110,39 F,30 F,70 %,NW,15 mph,0 mph,30.2 in,0,2017-01-03 07:00:00
111,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 07:30:00
112,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 08:00:00
113,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 08:30:00
114,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 09:00:00
115,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 09:30:00
116,41 F,32 F,70 %,NNW,17 mph,0 mph,30.2 in,0,2017-01-03 10:00:00
117,43 F,32 F,66 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-03 10:30:00
118,45 F,34 F,66 %,NW,17 mph,0 mph,30.2 in,0,2017-01-03 11:00:00
119,45 F,34 F,66 %,NNW,17 mph,0 mph,30.2 in,0,2017-01-03 11:30:00
120,46 F,36 F,66 %,NW,14 mph,0 mph,30.2 in,0,2017-01-03 12:00:00
121,46 F,36 F,66 %,NW,13 mph,24 mph,30.2 in,0,2017-01-03 12:00:00
122,50 F,37 F,62 %,NW,12 mph,25 mph,30.2 in,0,2017-01-03 13:00:00
123,50 F,39 F,66 %,NW,9 mph,0 mph,30.2 in,0,2017-01-03 13:00:00
124,50 F,39 F,66 %,NNW,8 mph,0 mph,30.2 in,0,2017-01-03 14:00:00
125,52 F,39 F,62 %,NW,8 mph,0 mph,30.2 in,0,2017-01-03 14:00:00
126,52 F,39 F,62 %,NW,6 mph,0 mph,30.2 in,0,2017-01-03 15:00:00
127,54 F,41 F,62 %,NNW,5 mph,0 mph,30.2 in,0,2017-01-03 15:00:00
128,54 F,41 F,62 %,NW,3 mph,0 mph,30.2 in,0,2017-01-03 16:00:00
129,52 F,39 F,62 %,NNW,3 mph,0 mph,30.2 in,0,2017-01-03 16:00:00
130,52 F,39 F,62 %,NW,5 mph,0 mph,30.2 in,0,2017-01-03 17:00:00
131,50 F,39 F,66 %,NW,5 mph,0 mph,30.2 in,0,2017-01-03 17:00:00
132,50 F,39 F,66 %,NNW,7 mph,0 mph,30.2 in,0,2017-01-03 18:00:00
133,50 F,37 F,62 %,NNW,7 mph,0 mph,30.2 in,0,2017-01-03 18:00:00
134,48 F,39 F,71 %,NW,8 mph,0 mph,30.2 in,0,2017-01-03 19:00:00
135,46 F,37 F,71 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-03 19:00:00
136,46 F,37 F,71 %,NW,10 mph,0 mph,30.2 in,0,2017-01-03 20:00:00
137,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-03 20:00:00
138,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-03 21:00:00
139,45 F,36 F,71 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-03 21:00:00
140,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-03 22:00:00
141,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-03 22:00:00
142,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-03 23:00:00
143,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-03 23:00:00
144,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 00:00:00
145,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-04 00:00:00
146,43 F,36 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 01:00:00
147,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 01:30:00
148,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 02:00:00
149,45 F,37 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-04 02:30:00
150,43 F,37 F,81 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 03:00:00
151,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 03:30:00
152,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 04:00:00
153,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 04:30:00
154,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 05:00:00
155,45 F,37 F,76 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-04 05:30:00
156,45 F,37 F,76 %,NW,12 mph,0 mph,30.2 in,0,2017-01-04 06:00:00
157,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 06:30:00
158,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 07:00:00
159,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 07:30:00
