,Datetime,Weekday,Part of the day
129,2017-01-10 18:00:00,Tuesday,Afternoon
130,2017-01-10 19:00:00,Tuesday,Afternoon
131,2017-01-10 21:00:00,Tuesday,Afternoon
132,2017-01-10 22:00:00,Tuesday,Night
133,2017-01-11 07:00:00,Wednesday,Morning
134,2017-01-11 09:00:00,Wednesday,Morning
135,2017-01-11 11:00:00,Wednesday,Morning
136,2017-01-11 13:00:00,Wednesday,Morning
137,2017-01-11 14:00:00,Wednesday,Afternoon
138,2017-01-11 15:00:00,Wednesday,Afternoon
139,2017-01-11 16:00:00,Wednesday,Afternoon
140,2017-01-11 17:00:00,Wednesday,Afternoon
141,2017-01-11 18:00:00,Wednesday,Afternoon
142,2017-01-11 19:00:00,Wednesday,Afternoon
143,2017-01-11 20:00:00,Wednesday,Afternoon
144,2017-01-11 21:00:00,Wednesday,Afternoon
145,2017-01-11 23:00:00,Wednesday,Night
146,2017-01-12 01:00:00,Thursday,Night
147,2017-01-12 03:00:00,Thursday,Night
148,2017-01-12 07:00:00,Thursday,Morning
149,2017-01-12 08:00:00,Thursday,Morning
150,2017-01-12 09:00:00,Thursday,Morning
151,2017-01-12 10:00:00,Thursday,Morning
152,2017-01-12 11:00:00,Thursday,Morning
153,2017-01-12 12:00:00,Thursday,Morning
154,2017-01-12 13:00:00,Thursday,Morning
155,2017-01-12 14:00:00,Thursday,Afternoon
156,2017-01-12 15:00:00,Thursday,Afternoon
157,2017-01-12 18:00:00,Thursday,Afternoon
158,2017-01-12 19:00:00,Thursday,Afternoon
159,2017-01-12 20:00:00,Thursday,Afternoon
160,2017-01-12 21:00:00,Thursday,Afternoon
161,2017-01-13 08:00:00,Friday,Morning
162,2017-01-13 09:00:00,Friday,Morning
163,2017-01-13 10:00:00,Friday,Morning
164,2017-01-13 11:00:00,Friday,Morning
165,2017-01-13 13:00:00,Friday,Morning
166,2017-01-13 14:00:00,Friday,Afternoon
167,2017-01-13 15:00:00,Friday,Afternoon
168,2017-01-13 16:00:00,Friday,Afternoon
169,2017-01-13 17:00:00,Friday,Afternoon
170,2017-01-13 18:00:00,Friday,Afternoon
171,2017-01-13 20:00:00,Friday,Afternoon
172,2017-01-13 21:00:00,Friday,Afternoon
173,2017-01-14 00:00:00,Saturday,Night
174,2017-01-14 04:00:00,Saturday,Night
175,2017-01-14 08:00:00,Saturday,Morning
176,2017-01-14 09:00:00,Saturday,Morning
177,2017-01-14 11:00:00,Saturday,Morning
178,2017-01-14 12:00:00,Saturday,Morning
179,2017-01-14 13:00:00,Saturday,Morning
180,2017-01-14 14:00:00,Saturday,Afternoon
181,2017-01-14 16:00:00,Saturday,Afternoon
182,2017-01-14 17:00:00,Saturday,Afternoon
183,2017-01-14 18:00:00,Saturday,Afternoon
184,2017-01-14 19:00:00,Saturday,Afternoon
185,2017-01-14 20:00:00,Saturday,Afternoon
186,2017-01-14 21:00:00,Saturday,Afternoon
187,2017-01-14 22:00:00,Saturday,Night
188,2017-01-14 23:00:00,Saturday,Night
189,2017-01-15 00:00:00,Sunday,Night
190,2017-01-15 01:00:00,Sunday,Night
191,2017-01-15 03:00:00,Sunday,Night
192,2017-01-15 10:00:00,Sunday,Morning
193,2017-01-15 12:00:00,Sunday,Morning
194,2017-01-15 13:00:00,Sunday,Morning
195,2017-01-15 14:00:00,Sunday,Afternoon
196,2017-01-15 17:00:00,Sunday,Afternoon
197,2017-01-15 19:00:00,Sunday,Afternoon
198,2017-01-15 21:00:00,Sunday,Afternoon
199,2017-01-16 07:00:00,Monday,Morning
200,2017-01-16 08:00:00,Monday,Morning
201,2017-01-16 09:00:00,Monday,Morning
202,2017-01-16 11:00:00,Monday,Morning
203,2017-01-16 12:00:00,Monday,Morning
204,2017-01-16 14:00:00,Monday,Afternoon
205,2017-01-16 15:00:00,Monday,Afternoon
206,2017-01-16 16:00:00,Monday,Afternoon
207,2017-01-16 17:00:00,Monday,Afternoon
208,2017-01-16 18:00:00,Monday,Afternoon
209,2017-01-16 19:00:00,Monday,Afternoon
210,2017-01-16 20:00:00,Monday,Afternoon
211,2017-01-17 07:00:00,Tuesday,Morning
212,2017-01-17 08:00:00,Tuesday,Morning
213,2017-01-17 09:00:00,Tuesday,Morning
214,2017-01-17 10:00:00,Tuesday,Morning
215,2017-01-17 11:00:00,Tuesday,Morning
216,2017-01-17 12:00:00,Tuesday,Morning
217,2017-01-17 13:00:00,Tuesday,Morning
218,2017-01-17 14:00:00,Tuesday,Afternoon
219,2017-01-17 15:00:00,Tuesday,Afternoon
220,2017-01-17 16:00:00,Tuesday,Afternoon
221,2017-01-17 17:00:00,Tuesday,Afternoon
222,2017-01-17 18:00:00,Tuesday,Afternoon
223,2017-01-17 21:00:00,Tuesday,Afternoon
224,2017-01-17 22:00:00,Tuesday,Night
225,2017-01-18 01:00:00,Wednesday,Night
226,2017-01-18 06:00:00,Wednesday,Morning
227,2017-01-18 09:00:00,Wednesday,Morning
228,2017-01-18 10:00:00,Wednesday,Morning
229,2017-01-18 12:00:00,Wednesday,Morning
230,2017-01-18 13:00:00,Wednesday,Morning
231,2017-01-18 15:00:00,Wednesday,Afternoon
232,2017-01-18 16:00:00,Wednesday,Afternoon
233,2017-01-18 17:00:00,Wednesday,Afternoon
234,2017-01-18 18:00:00,Wednesday,Afternoon
235,2017-01-18 19:00:00,Wednesday,Afternoon
236,2017-01-18 20:00:00,Wednesday,Afternoon
237,2017-01-18 21:00:00,Wednesday,Afternoon
238,2017-01-18 22:00:00,Wednesday,Night
239,2017-01-19 01:00:00,Thursday,Night
240,2017-01-19 07:00:00,Thursday,Morning
241,2017-01-19 08:00:00,Thursday,Morning
242,2017-01-19 09:00:00,Thursday,Morning
243,2017-01-19 10:00:00,Thursday,Morning
244,2017-01-19 11:00:00,Thursday,Morning
245,2017-01-19 12:00:00,Thursday,Morning
246,2017-01-19 13:00:00,Thursday,Morning
247,2017-01-19 15:00:00,Thursday,Afternoon
248,2017-01-19 16:00:00,Thursday,Afternoon
249,2017-01-19 17:00:00,Thursday,Afternoon
250,2017-01-19 18:00:00,Thursday,Afternoon
251,2017-01-19 19:00:00,Thursday,Afternoon
252,2017-01-19 20:00:00,Thursday,Afternoon
253,2017-01-19 22:00:00,Thursday,Night
254,2017-01-20 07:00:00,Friday,Morning
255,2017-01-20 08:00:00,Friday,Morning
256,2017-01-20 09:00:00,Friday,Morning
257,2017-01-20 10:00:00,Friday,Morning
258,2017-01-20 11:00:00,Friday,Morning
259,2017-01-20 12:00:00,Friday,Morning
260,2017-01-20 13:00:00,Friday,Morning
261,2017-01-20 14:00:00,Friday,Afternoon
262,2017-01-20 15:00:00,Friday,Afternoon
263,2017-01-20 16:00:00,Friday,Afternoon
264,2017-01-20 17:00:00,Friday,Afternoon
265,2017-01-20 18:00:00,Friday,Afternoon
266,2017-01-20 19:00:00,Friday,Afternoon
267,2017-01-20 20:00:00,Friday,Afternoon
268,2017-01-20 21:00:00,Friday,Afternoon
269,2017-01-20 22:00:00,Friday,Night
270,2017-01-20 23:00:00,Friday,Night
271,2017-01-21 01:00:00,Saturday,Night
272,2017-01-21 02:00:00,Saturday,Night
273,2017-01-21 07:00:00,Saturday,Morning
274,2017-01-21 08:00:00,Saturday,Morning
275,2017-01-21 12:00:00,Saturday,Morning
276,2017-01-21 16:00:00,Saturday,Afternoon
277,2017-01-21 17:00:00,Saturday,Afternoon
278,2017-01-21 19:00:00,Saturday,Afternoon
279,2017-01-21 21:00:00,Saturday,Afternoon
280,2017-01-21 22:00:00,Saturday,Night
281,2017-01-21 23:00:00,Saturday,Night
282,2017-01-22 00:00:00,Sunday,Night
283,2017-01-22 01:00:00,Sunday,Night
284,2017-01-22 02:00:00,Sunday,Night
285,2017-01-22 06:00:00,Sunday,Morning
286,2017-01-22 09:00:00,Sunday,Morning
287,2017-01-22 10:00:00,Sunday,Morning
288,2017-01-22 13:00:00,Sunday,Morning
289,2017-01-22 19:00:00,Sunday,Afternoon
290,2017-01-22 20:00:00,Sunday,Afternoon
291,2017-01-22 22:00:00,Sunday,Night
292,2017-01-23 07:00:00,Monday,Morning
293,2017-01-23 08:00:00,Monday,Morning
294,2017-01-23 09:00:00,Monday,Morning
295,2017-01-23 10:00:00,Monday,Morning
296,2017-01-23 11:00:00,Monday,Morning
297,2017-01-23 13:00:00,Monday,Morning
298,2017-01-23 14:00:00,Monday,Afternoon
299,2017-01-23 15:00:00,Monday,Afternoon
300,2017-01-23 16:00:00,Monday,Afternoon
301,2017-01-23 17:00:00,Monday,Afternoon
302,2017-01-23 18:00:00,Monday,Afternoon
303,2017-01-23 20:00:00,Monday,Afternoon
304,2017-01-23 21:00:00,Monday,Afternoon
305,2017-01-23 22:00:00,Monday,Night
306,2017-01-24 05:00:00,Tuesday,Night
307,2017-01-24 06:00:00,Tuesday,Morning
308,2017-01-24 07:00:00,Tuesday,Morning
309,2017-01-24 08:00:00,Tuesday,Morning
310,2017-01-24 09:00:00,Tuesday,Morning
311,2017-01-24 10:00:00,Tuesday,Morning
312,2017-01-24 11:00:00,Tuesday,Morning
313,2017-01-24 12:00:00,Tuesday,Morning
314,2017-01-24 13:00:00,Tuesday,Morning
315,2017-01-24 14:00:00,Tuesday,Afternoon
316,2017-01-24 16:00:00,Tuesday,Afternoon
317,2017-01-24 17:00:00,Tuesday,Afternoon
318,2017-01-24 18:00:00,Tuesday,Afternoon
