,Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime.1
9142,2017-01-04 11:00:00,2017S000073    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.19586,41.399582,2017-01-04 11:00:00
4820,2017-01-04 12:00:00,2017S000082    ,Gràcia,Wednesday,Morning,0,0,0,1,2.1604,41.400815,2017-01-04 12:00:00
807,2017-01-04 13:00:00,2017S000080    ,Les Corts,Wednesday,Morning,2,0,2,2,2.135002,41.39024600000001,2017-01-04 13:00:00
3290,2017-01-04 14:00:00,2017S000084    ,Les Corts,Wednesday,Afternoon,1,0,1,2,2.1326080000000003,41.389624,2017-01-04 14:00:00
439,2017-01-04 15:00:00,2017S000078    ,Eixample,Wednesday,Afternoon,2,0,2,2,2.157334,41.384783,2017-01-04 15:00:00
10044,2017-01-04 16:00:00,2017S000087    ,Gràcia,Wednesday,Afternoon,1,0,1,1,2.14916,41.408495,2017-01-04 16:00:00
2018,2017-01-04 17:00:00,2017S000086    ,Les Corts,Wednesday,Afternoon,1,0,1,3,2.134273,41.39066,2017-01-04 17:00:00
4564,2017-01-04 19:00:00,2017S000091    ,Sants-Montjuïc,Wednesday,Afternoon,1,0,1,1,2.134697,41.371361,2017-01-04 19:00:00
1973,2017-01-04 21:00:00,2017S000088    ,Sants-Montjuïc,Wednesday,Afternoon,1,0,1,2,2.130464,41.375494,2017-01-04 21:00:00
8680,2017-01-04 22:00:00,2017S000093    ,Sarrià-Sant Gervasi,Wednesday,Night,1,0,1,2,2.136344,41.40324,2017-01-04 22:00:00
6084,2017-01-05 02:00:00,2017S000095    ,Sarrià-Sant Gervasi,Thursday,Night,1,0,1,1,2.1375610000000003,41.413813,2017-01-05 02:00:00
1228,2017-01-05 04:00:00,2017S000096    ,Sant Andreu,Thursday,Night,1,0,1,1,2.205163,41.444756,2017-01-05 04:00:00
2354,2017-01-05 05:00:00,2017S000099    ,Horta-Guinardó,Thursday,Night,0,0,0,3,2.174778,41.417544,2017-01-05 05:00:00
