Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime
2017-09-01 18:00:00,2017S007332    ,Sant Martí,Friday,Afternoon,0,0,0,1,2.197063,41.411044,2017-09-01 18:00:00
2017-01-27 17:00:00,2017S000726    ,Sant Martí,Friday,Afternoon,2,0,2,2,2.193542,41.413696,2017-01-27 17:00:00
2017-03-08 10:00:00,2017S001891    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.194216,41.414467,2017-03-08 10:00:00
2017-01-20 11:00:00,2017S000532    ,Sant Martí,Friday,Morning,1,0,1,2,2.186061,41.405891,2017-01-20 11:00:00
2017-07-24 15:00:00,2017S006453    ,Sant Martí,Monday,Afternoon,1,0,1,2,2.185657,41.406065000000005,2017-07-24 15:00:00
2017-05-16 13:00:00,2017S004345    ,Sant Martí,Tuesday,Morning,1,0,1,2,2.186425,41.409909999999996,2017-05-16 13:00:00
2017-02-01 18:00:00,2017S000869    ,Sant Martí,Wednesday,Afternoon,1,0,1,2,2.186557,41.409003999999996,2017-02-01 18:00:00
2017-02-25 08:00:00,2017S001562    ,Sant Martí,Saturday,Morning,1,0,1,2,2.18656,41.410613,2017-02-25 08:00:00
2017-11-24 08:00:00,2017S009772    ,Sant Martí,Friday,Morning,2,0,2,3,2.186877,41.410354,2017-11-24 08:00:00
2017-09-13 23:00:00,2017S007600    ,Sant Martí,Wednesday,Night,1,0,1,5,2.191279,41.411972999999996,2017-09-13 23:00:00
2017-01-06 22:00:00,2017S000137    ,Sant Martí,Friday,Night,1,0,1,2,2.1884,41.410069,2017-01-06 22:00:00
2017-10-06 20:00:00,2017S008267    ,Sant Martí,Friday,Afternoon,1,0,1,2,2.192552,41.407639,2017-10-06 20:00:00
2017-09-26 12:00:00,2017S007951    ,Sant Martí,Tuesday,Morning,1,0,1,1,2.193547,41.411986999999996,2017-09-26 12:00:00
2017-08-08 23:00:00,2017S006854    ,Sant Martí,Tuesday,Night,1,0,1,2,2.191279,41.411972999999996,2017-08-08 23:00:00
2017-07-12 17:00:00,2017S006079    ,Sant Martí,Wednesday,Afternoon,1,0,1,1,2.187637,41.410827000000005,2017-07-12 17:00:00
2017-05-26 08:00:00,2017S004641    ,Sant Martí,Friday,Morning,1,0,1,3,2.193547,41.411986999999996,2017-05-26 08:00:00
2017-04-23 11:00:00,2017S003623    ,Sant Martí,Sunday,Morning,1,0,1,2,2.186892,41.413523,2017-04-23 11:00:00
2017-10-01 21:00:00,2017S008103    ,Sant Martí,Sunday,Afternoon,2,0,2,2,2.187887,41.414538,2017-10-01 21:00:00
2017-05-04 10:00:00,2017S003940    ,Sant Martí,Thursday,Morning,1,0,1,3,2.19303,41.410796000000005,2017-05-04 10:00:00
